UserId,ContenentId_x,RegionId_x,CountryId_x,CityId_x,FullId,CityId_y,CityName,CountryId_y,Country,RegionId_y,Region,ContentId,ContenentId_y,Contenent
190,2,8,50,611.0,2850611.0,611,Mexico City,50,Mexico,8,Northern America,2,2,America
191,5,21,163,9036.0,5211639036.0,9036,Warminster,163,United Kingdom,21,Western Europe,5,5,Europe
192,5,21,163,8652.0,5211638652.0,8652,Newcastle upon Tyne,163,United Kingdom,21,Western Europe,5,5,Europe
194,2,8,51,1923.0,28511923.0,1923,Springfield,51,United States,8,Northern America,2,2,America
196,4,15,109,3973.0,4151093973.0,3973,Cairns,109,Australia,15,Australia,4,4,Australia & Oceania
200,3,14,108,3667.0,3141083667.0,3667,Ho Chi Minh City,108,Vietnam,14,South East Asia,3,3,Asia
208,2,8,51,1592.0,28511592.0,1592,Norwood,51,United States,8,Northern America,2,2,America
213,4,16,115,5487.0,4161155487.0,5487,Auckland,115,New Zealand,16,Oceania,4,4,Australia & Oceania
218,5,21,163,8450.0,5211638450.0,8450,Inverness,163,United Kingdom,21,Western Europe,5,5,Europe
228,3,13,93,2725.0,313932725.0,2725,Faridabad,93,India,13,South Asia,3,3,Asia
230,4,15,109,5267.0,4151095267.0,5267,Townsville,109,Australia,15,Australia,4,4,Australia & Oceania
231,5,21,163,8258.0,5211638258.0,8258,Edinburgh,163,United Kingdom,21,Western Europe,5,5,Europe
234,1,4,22,107.0,1422107.0,107,Cape Town Central,22,South Africa,4,Southern Africa,1,1,Africa
239,5,21,163,8686.0,5211638686.0,8686,Norwich,163,United Kingdom,21,Western Europe,5,5,Europe
240,4,15,109,3987.0,4151093987.0,3987,Canterbury,109,Australia,15,Australia,4,4,Australia & Oceania
242,4,15,109,4303.0,4151094303.0,4303,Gold Coast,109,Australia,15,Australia,4,4,Australia & Oceania
247,2,8,48,371.0,2848371.0,371,Edmonton,48,Canada,8,Northern America,2,2,America
249,5,17,123,5781.0,5171235781.0,5781,Pilsen,123,Czech Republic,17,Central Europe,5,5,Europe
255,4,15,109,3687.0,4151093687.0,3687,Adelaide,109,Australia,15,Australia,4,4,Australia & Oceania
256,4,15,109,3687.0,4151093687.0,3687,Adelaide,109,Australia,15,Australia,4,4,Australia & Oceania
266,4,15,109,3687.0,4151093687.0,3687,Adelaide,109,Australia,15,Australia,4,4,Australia & Oceania
267,4,15,109,4940.0,4151094940.0,4940,Perth,109,Australia,15,Australia,4,4,Australia & Oceania
268,4,15,109,4964.0,4151094964.0,4964,Playford,109,Australia,15,Australia,4,4,Australia & Oceania
269,3,14,101,3061.0,3141013061.0,3061,Canggu,101,Indonesia,14,South East Asia,3,3,Asia
271,5,20,157,7052.0,5201577052.0,7052,Barcelona,157,Spain,20,Southern Europe,5,5,Europe
272,5,20,157,7169.0,5201577169.0,7169,Seville,157,Spain,20,Southern Europe,5,5,Europe
274,2,8,48,491.0,2848491.0,491,Red Deer,48,Canada,8,Northern America,2,2,America
276,5,21,159,7470.0,5211597470.0,7470,Montpellier,159,France,21,Western Europe,5,5,Europe
286,5,21,158,7199.0,5211587199.0,7199,Asse,158,Belgium,21,Western Europe,5,5,Europe
302,3,14,106,3551.0,3141063551.0,3551,Singapore,106,Singapore,14,South East Asia,3,3,Asia
303,3,14,106,3551.0,3141063551.0,3551,Singapore,106,Singapore,14,South East Asia,3,3,Asia
315,5,21,163,8916.0,5211638916.0,8916,Stansted,163,United Kingdom,21,Western Europe,5,5,Europe
316,2,8,51,1552.0,28511552.0,1552,New York City,51,United States,8,Northern America,2,2,America
319,4,16,115,5506.0,4161155506.0,5506,Christchurch,115,New Zealand,16,Oceania,4,4,Australia & Oceania
320,4,15,109,3945.0,4151093945.0,3945,Bunbury,109,Australia,15,Australia,4,4,Australia & Oceania
328,2,8,51,1752.0,28511752.0,1752,Reno,51,United States,8,Northern America,2,2,America
337,3,14,101,3230.0,3141013230.0,3230,Seminyak,101,Indonesia,14,South East Asia,3,3,Asia
339,1,4,22,106.0,1422106.0,106,Cape Town,22,South Africa,4,Southern Africa,1,1,Africa
341,3,14,101,3013.0,3141013013.0,3013,Bali,101,Indonesia,14,South East Asia,3,3,Asia
346,5,21,163,8317.0,5211638317.0,8317,Glasgow,163,United Kingdom,21,Western Europe,5,5,Europe
348,4,15,109,4940.0,4151094940.0,4940,Perth,109,Australia,15,Australia,4,4,Australia & Oceania
349,5,17,130,6098.0,5171306098.0,6098,Krakow,130,Poland,17,Central Europe,5,5,Europe
351,4,15,109,3687.0,4151093687.0,3687,Adelaide,109,Australia,15,Australia,4,4,Australia & Oceania
359,4,15,109,5046.0,4151095046.0,5046,Rockingham,109,Australia,15,Australia,4,4,Australia & Oceania
361,2,8,51,2081.0,28512081.0,2081,West Covina,51,United States,8,Northern America,2,2,America
369,4,15,109,3687.0,4151093687.0,3687,Adelaide,109,Australia,15,Australia,4,4,Australia & Oceania
382,3,13,93,2905.0,313932905.0,2905,Vadodara,93,India,13,South Asia,3,3,Asia
388,1,4,22,110.0,1422110.0,110,Centurion,22,South Africa,4,Southern Africa,1,1,Africa
390,3,12,88,2606.0,312882606.0,2606,Izmir,88,Turkey,12,Middle East,3,3,Asia
393,5,17,122,5729.0,5171225729.0,5729,Central Croatia,122,Croatia,17,Central Europe,5,5,Europe
396,2,8,51,682.0,2851682.0,682,Arlington,51,United States,8,Northern America,2,2,America
397,4,15,109,3915.0,4151093915.0,3915,Brisbane,109,Australia,15,Australia,4,4,Australia & Oceania
399,5,17,130,6117.0,5171306117.0,6117,Warsaw,130,Poland,17,Central Europe,5,5,Europe
404,5,17,125,5954.0,5171255954.0,5954,Munich,125,Germany,17,Central Europe,5,5,Europe
408,5,17,127,6062.0,5171276062.0,6062,Riga,127,Latvia,17,Central Europe,5,5,Europe
410,3,14,101,3013.0,3141013013.0,3013,Bali,101,Indonesia,14,South East Asia,3,3,Asia
418,3,14,101,3098.0,3141013098.0,3098,Jakarta,101,Indonesia,14,South East Asia,3,3,Asia
422,2,8,51,1358.0,28511358.0,1358,Lodi,51,United States,8,Northern America,2,2,America
425,3,14,106,3551.0,3141063551.0,3551,Singapore,106,Singapore,14,South East Asia,3,3,Asia
426,4,15,109,3702.0,4151093702.0,3702,Alice Springs,109,Australia,15,Australia,4,4,Australia & Oceania
430,3,13,93,2708.0,313932708.0,2708,Chennai (Madras),93,India,13,South Asia,3,3,Asia
432,5,21,159,7494.0,5211597494.0,7494,Paris,159,France,21,Western Europe,5,5,Europe
433,4,15,109,4262.0,4151094262.0,4262,Fremantle,109,Australia,15,Australia,4,4,Australia & Oceania
435,5,21,163,8317.0,5211638317.0,8317,Glasgow,163,United Kingdom,21,Western Europe,5,5,Europe
442,3,14,106,3551.0,3141063551.0,3551,Singapore,106,Singapore,14,South East Asia,3,3,Asia
444,5,21,163,8757.0,5211638757.0,8757,Preesall,163,United Kingdom,21,Western Europe,5,5,Europe
445,5,21,163,8221.0,5211638221.0,8221,Doncaster,163,United Kingdom,21,Western Europe,5,5,Europe
446,4,15,109,5100.0,4151095100.0,5100,Shellharbour,109,Australia,15,Australia,4,4,Australia & Oceania
447,4,15,109,4940.0,4151094940.0,4940,Perth,109,Australia,15,Australia,4,4,Australia & Oceania
